agent_name	grounding	other_mapping	cui
vincristine	('CHEBI', 'CHEBI:28445')	{'CHEBI': 'CHEBI:28445', 'TEXT': 'vincristine', 'CHEMBL': 'CHEMBL499458', 'HMS-LINCS': '10488', 'DRUGBANK': 'DB00541', 'HMDB': 'HMDB0014681', 'PUBCHEM': '5978', 'MESH': 'D014750', 'CAS': '57-22-7'}	C0042679
kaempferol	('CHEBI', 'CHEBI:28499')	{'CHEBI': 'CHEBI:28499', 'TEXT': 'Kaempferol', 'CAS': '520-18-3', 'DRUGBANK': 'DB01852', 'CHEMBL': 'CHEMBL150', 'PUBCHEM': '5280863', 'HMDB': 'HMDB0005801'}	C0064280
kaempferol	('CHEBI', 'CHEBI:28499')	{'CHEBI': 'CHEBI:28499', 'TEXT': 'kaempferol', 'CAS': '520-18-3', 'DRUGBANK': 'DB01852', 'CHEMBL': 'CHEMBL150', 'PUBCHEM': '5280863', 'HMDB': 'HMDB0005801'}	C0064280
rutin	('CHEBI', 'CHEBI:28527')	{'CHEBI': 'CHEBI:28527', 'PUBCHEM': '5280805', 'CHEMBL': 'CHEMBL226335', 'DRUGBANK': 'DB01698', 'CAS': '153-18-4', 'MESH': 'D012431', 'HMDB': 'HMDB0003249', 'TEXT': 'rutin'}	C0005492
rutin	('CHEBI', 'CHEBI:28527')	{'CHEBI': 'CHEBI:28527', 'TEXT': 'Rutin', 'CHEMBL': 'CHEMBL226335', 'DRUGBANK': 'DB01698', 'CAS': '153-18-4', 'PUBCHEM': '5280805', 'MESH': 'D012431', 'HMDB': 'HMDB0003249'}	C0005492
gossypol	('CHEBI', 'CHEBI:28584')	{'CHEBI': 'CHEBI:28584', 'TEXT': 'gossypol', 'MESH': 'D006072'}	C0018096
quinidine	('CHEBI', 'CHEBI:28593')	{'CHEBI': 'CHEBI:28593', 'TEXT': 'quinidine', 'HMDB': 'HMDB0015044', 'CHEMBL': 'CHEMBL1294', 'DRUGBANK': 'DB00908', 'MESH': 'D011802', 'PUBCHEM': '441074', 'CAS': '56-54-2'}	C0034414
acrylamide	('CHEBI', 'CHEBI:28619')	{'CHEBI': 'CHEBI:28619', 'TEXT': 'acrylamide', 'CHEMBL': 'CHEMBL348107', 'CAS': '79-06-1', 'HMDB': 'HMDB0004296', 'PUBCHEM': '6579', 'MESH': 'D020106'}	C0050587
molybdenum atom	('CHEBI', 'CHEBI:28685')	{'PUBCHEM': '23932', 'TEXT': 'MO', 'CAS': '7439-98-7', 'MESH': 'D008982', 'HMDB': 'HMDB0001302', 'CHEBI': 'CHEBI:28685', 'DRUGBANK': 'DB11137'}	C0026544
doxorubicin	('CHEBI', 'CHEBI:28748')	{'CHEBI': 'CHEBI:28748', 'PUBCHEM': '31703', 'HMS-LINCS': '10248', 'DRUGBANK': 'DB00997', 'CAS': '23214-92-8', 'CHEMBL': 'CHEMBL53463', 'MESH': 'D004317', 'LINCS': 'LSM-4062', 'HMDB': 'HMDB0015132', 'TEXT': 'doxorubicin'}	C0085752
fructose	('CHEBI', 'CHEBI:28757')	{'CHEBI': 'CHEBI:28757', 'TEXT': 'fructose', 'CAS': '30237-26-4', 'MESH': 'D005632', 'DRUGBANK': 'DB04173'}	C0016745
serotonin	('CHEBI', 'CHEBI:28790')	{'CHEBI': 'CHEBI:28790', 'TEXT': 'Serotonin', 'DRUGBANK': 'DB08839', 'MESH': 'D012701', 'CAS': '50-67-9', 'PUBCHEM': '5202', 'CHEMBL': 'CHEMBL39', 'HMDB': 'HMDB0000259'}	C0036751
flavonols	('CHEBI', 'CHEBI:28802')	{'CHEBI': 'CHEBI:28802', 'TEXT': 'flavonols', 'MESH': 'D044948'}	C0060444
flavonols	('CHEBI', 'CHEBI:28802')	{'CHEBI': 'CHEBI:28802', 'TEXT': 'Flavonols', 'MESH': 'D044948'}	C0060444
aminomethylphosphonic acid	('CHEBI', 'CHEBI:28812')	{'PUBCHEM': '14017', 'TEXT': 'AMPA', 'CAS': '1066-51-9', 'MESH': 'D018350', 'DRUGBANK': 'DB02057', 'CHEMBL': 'CHEMBL276815', 'CHEBI': 'CHEBI:28812'}	C0051318
piperine	('CHEBI', 'CHEBI:28821')	{'CHEBI': 'CHEBI:28821', 'TEXT': 'Piperine', 'CAS': '94-62-2', 'DRUGBANK': 'DB12582', 'CHEMBL': 'CHEMBL43185', 'PUBCHEM': '638024', 'HMDB': 'HMDB0029377'}	C0071112
octadecanoic acid	('CHEBI', 'CHEBI:28842')	{'PUBCHEM': '5281', 'TEXT': 'stearic acid', 'CHEMBL': 'CHEMBL46403', 'DRUGBANK': 'DB03193', 'CAS': '57-11-4', 'HMDB': 'HMDB0000827', 'CHEBI': 'CHEBI:28842'}	C0038229
octadecanoic acid	('CHEBI', 'CHEBI:28842')	{'PUBCHEM': '5281', 'TEXT': 'Stearic acid', 'CHEMBL': 'CHEMBL46403', 'DRUGBANK': 'DB03193', 'CAS': '57-11-4', 'HMDB': 'HMDB0000827', 'CHEBI': 'CHEBI:28842'}	C0038229
1-O-all-trans-retinoyl-beta-glucuronic acid	('CHEBI', 'CHEBI:28870')	{'PUBCHEM': '5281877', 'TEXT': 'glucuronide', 'HMDB': 'HMDB0003141', 'CHEBI': 'CHEBI:28870', 'CAS': '401-10-5'}	C0812407
phosphatidylinositol	('CHEBI', 'CHEBI:28874')	{'CHEBI': 'CHEBI:28874', 'MESH': 'D010716', 'DRUGBANK': 'DB02144', 'TEXT': 'phosphatidylinositol'}	C0031621
dihydromyricetin	('CHEBI', 'CHEBI:28917')	{'CHEBI': 'CHEBI:28917', 'TEXT': 'dihydromyricetin', 'PUBCHEM': '5153580', 'HMDB': 'HMDB0030835'}	C1174885
ammonium	('CHEBI', 'CHEBI:28938')	{'CHEBI': 'CHEBI:28938', 'TEXT': 'Ammonium', 'HMDB': 'HMDB0041827', 'CAS': '14798-03-9', 'PUBCHEM': '223'}	C0002611
N-acetyl-L-cysteine	('CHEBI', 'CHEBI:28939')	{'PUBCHEM': '12035', 'TEXT': 'N-acetylcysteine', 'CHEMBL': 'CHEMBL600', 'DRUGBANK': 'DB06151', 'MESH': 'D000111', 'HMS-LINCS': '10614', 'HMDB': 'HMDB0001890', 'CAS': '616-91-1', 'CHEBI': 'CHEBI:28939'}	C0001047
chlorophyll	('CHEBI', 'CHEBI:28966')	{'CHEBI': 'CHEBI:28966', 'TEXT': 'chlorophyll', 'CAS': '1406-65-1'}	C0008260
copper2+	('CHEBI', 'CHEBI:29036')	{'CHEBI': 'CHEBI:29036', 'PUBCHEM': '27099', 'CAS': '15158-11-9', 'DRUGBANK': 'DB14552', 'CHEMBL': 'CHEMBL55643', 'HMDB': 'HMDB0000657', 'TEXT': 'copper'}	C2347872
copper2+	('CHEBI', 'CHEBI:29036')	{'PUBCHEM': '27099', 'TEXT': 'Cu', 'CAS': '15158-11-9', 'CHEBI': 'CHEBI:29036', 'DRUGBANK': 'DB14552', 'CHEMBL': 'CHEMBL55643', 'HMDB': 'HMDB0000657'}	C2347872
L-ascorbic acid	('CHEBI', 'CHEBI:29073')	{'CHEBI': 'CHEBI:29073', 'TEXT': 'L-ascorbic acid', 'HMDB': 'HMDB0000044', 'DRUGBANK': 'DB00126', 'CHEMBL': 'CHEMBL196', 'CAS': '50-81-7', 'PUBCHEM': '54670067'}	C0003968
sodium1+	('CHEBI', 'CHEBI:29101')	{'PUBCHEM': '923', 'TEXT': 'sodium', 'CAS': '17341-25-2', 'CHEBI': 'CHEBI:29101', 'HMDB': 'HMDB0000588', 'DRUGBANK': 'DB14516'}	C0037473
sodium1+	('CHEBI', 'CHEBI:29101')	{'PUBCHEM': '923', 'TEXT': 'Sodium', 'CAS': '17341-25-2', 'CHEBI': 'CHEBI:29101', 'HMDB': 'HMDB0000588', 'DRUGBANK': 'DB14516'}	C0037473
potassium1+	('CHEBI', 'CHEBI:29103')	{'PUBCHEM': '813', 'TEXT': 'K+', 'CAS': '24203-36-9', 'HMDB': 'HMDB0000586', 'CHEBI': 'CHEBI:29103', 'DRUGBANK': 'DB01345'}	C0032821
potassium1+	('CHEBI', 'CHEBI:29103')	{'PUBCHEM': '813', 'TEXT': 'potassium', 'CAS': '24203-36-9', 'HMDB': 'HMDB0000586', 'CHEBI': 'CHEBI:29103', 'DRUGBANK': 'DB01345'}	C0032821
potassium1+	('CHEBI', 'CHEBI:29103')	{'PUBCHEM': '813', 'TEXT': 'Potassium', 'CAS': '24203-36-9', 'HMDB': 'HMDB0000586', 'CHEBI': 'CHEBI:29103', 'DRUGBANK': 'DB01345'}	C0032821
calcium2+	('CHEBI', 'CHEBI:29108')	{'HMDB': 'HMDB0000464', 'CHEBI': 'CHEBI:29108', 'PUBCHEM': '271', 'CAS': '14127-61-8', 'TEXT': 'calcium'}	C3887642
calcium2+	('CHEBI', 'CHEBI:29108')	{'HMDB': 'HMDB0000464', 'CHEBI': 'CHEBI:29108', 'PUBCHEM': '271', 'CAS': '14127-61-8', 'TEXT': 'Ca'}	C3887642
sodium nitroprusside	('CHEBI', 'CHEBI:29321')	{'CHEBI': 'CHEBI:29321', 'TEXT': 'sodium nitroprusside', 'CAS': '14402-89-2', 'PUBCHEM': '11963579'}	C0037533
sodium nitroprusside	('CHEBI', 'CHEBI:29321')	{'CHEBI': 'CHEBI:29321', 'TEXT': 'sodium  nitroprusside', 'CAS': '14402-89-2', 'PUBCHEM': '11963579'}	C0037533
baicalein	('CHEBI', 'CHEBI:2979')	{'CHEBI': 'CHEBI:2979', 'TEXT': 'baicalein', 'HMDB': 'HMDB0031991', 'LINCS': 'LSM-6355', 'HMS-LINCS': '10343', 'PUBCHEM': '5281605', 'CHEMBL': 'CHEMBL8260', 'CAS': '491-67-8'}	C0052927
baicalin	('CHEBI', 'CHEBI:2981')	{'CHEBI': 'CHEBI:2981', 'TEXT': 'baicalin', 'CHEMBL': 'CHEMBL485818', 'CAS': '21967-41-9', 'HMDB': 'HMDB0041832', 'PUBCHEM': '64982'}	C0052929
benzo[a]pyrene	('CHEBI', 'CHEBI:29865')	{'PUBCHEM': '2336', 'TEXT': 'benzo(a)pyrene', 'HMDB': 'HMDB0062469', 'MESH': 'D001564', 'CHEBI': 'CHEBI:29865', 'CHEMBL': 'CHEMBL31184', 'CAS': '50-32-8'}	C0037623
tellurium atom	('CHEBI', 'CHEBI:30452')	{'PUBCHEM': '6327182', 'TEXT': 'te', 'CHEBI': 'CHEBI:30452', 'HMDB': 'HMDB0001854', 'MESH': 'D013691', 'CAS': '13494-80-9'}	C0039462
benzo[a]pyrene diol epoxide I	('CHEBI', 'CHEBI:30614')	{'PUBCHEM': '41322', 'TEXT': 'BPDE', 'HMDB': 'HMDB0062470', 'CAS': '55097-80-8', 'MESH': 'D015123', 'CHEMBL': 'CHEMBL1743211', 'CHEBI': 'CHEBI:30614'}	C0000641
diarsenic trioxide	('CHEBI', 'CHEBI:30621')	{'PUBCHEM': '518605', 'TEXT': 'As2O3', 'DRUGBANK': 'DB01169', 'CHEBI': 'CHEBI:30621', 'CHEMBL': 'CHEMBL1200978', 'MESH': 'D000077237'}	C0052416
ethylene glycol bis2-aminoethyltetraacetate	('CHEBI', 'CHEBI:30741')	{'PUBCHEM': '5461084', 'TEXT': 'EGTA', 'CHEBI': 'CHEBI:30741'}	C0013714
benzoic acid	('CHEBI', 'CHEBI:30746')	{'CHEBI': 'CHEBI:30746', 'TEXT': 'benzoic acid', 'PUBCHEM': '243', 'CHEMBL': 'CHEMBL541', 'HMDB': 'HMDB0001870', 'CAS': '65-85-0', 'DRUGBANK': 'DB03793'}	C0053225
salicylate	('CHEBI', 'CHEBI:30762')	{'CHEBI': 'CHEBI:30762', 'TEXT': 'salicylate', 'CAS': '63-36-5', 'PUBCHEM': '54675850'}	C0036077
citric acid	('CHEBI', 'CHEBI:30769')	{'CHEBI': 'CHEBI:30769', 'TEXT': 'citric acid', 'CAS': '77-92-9', 'HMDB': 'HMDB0000094', 'DRUGBANK': 'DB04272', 'PUBCHEM': '311', 'CHEMBL': 'CHEMBL1261'}	C0055819
citric acid	('CHEBI', 'CHEBI:30769')	{'CHEBI': 'CHEBI:30769', 'TEXT': 'Citric acid', 'CAS': '77-92-9', 'HMDB': 'HMDB0000094', 'DRUGBANK': 'DB04272', 'PUBCHEM': '311', 'CHEMBL': 'CHEMBL1261'}	C0055819
gallic acid	('CHEBI', 'CHEBI:30778')	{'CHEBI': 'CHEBI:30778', 'TEXT': 'Gallic acid', 'CHEMBL': 'CHEMBL288114', 'HMDB': 'HMDB0005807', 'CAS': '149-91-7', 'PUBCHEM': '370'}	C0016993
gallic acid	('CHEBI', 'CHEBI:30778')	{'PUBCHEM': '370', 'CHEBI': 'CHEBI:30778', 'CHEMBL': 'CHEMBL288114', 'HMDB': 'HMDB0005807', 'CAS': '149-91-7', 'TEXT': 'GA'}	C0016993
gallic acid	('CHEBI', 'CHEBI:30778')	{'CHEBI': 'CHEBI:30778', 'TEXT': 'gallic acid', 'CHEMBL': 'CHEMBL288114', 'HMDB': 'HMDB0005807', 'CAS': '149-91-7', 'PUBCHEM': '370'}	C0016993
glycyrrhetinic acid	('CHEBI', 'CHEBI:30853')	{'CHEBI': 'CHEBI:30853', 'TEXT': 'Glycyrrhetinic acid', 'MESH': 'D006034', 'PUBCHEM': '10114', 'DRUGBANK': 'DB13089', 'CAS': '1449-05-4', 'CHEMBL': 'CHEMBL230006', 'HMDB': 'HMDB0011628'}	C0017986
bilanafos	('CHEBI', 'CHEBI:3088')	{'PUBCHEM': '5462314', 'TEXT': 'PTT', 'CAS': '35597-43-4', 'CHEBI': 'CHEBI:3088'}	C0030605
bile acid	('CHEBI', 'CHEBI:3098')	{'CHEBI': 'CHEBI:3098', 'TEXT': 'bile acid'}	C0005390
N-methyl-D-aspartic acid	('CHEBI', 'CHEBI:31882')	{'PUBCHEM': '22880', 'TEXT': 'NMDA', 'MESH': 'D016202', 'CHEBI': 'CHEBI:31882', 'CHEMBL': 'CHEMBL291278', 'HMDB': 'HMDB0002393', 'CAS': '6384-92-5'}	C0079883
N-methyl-D-aspartic acid	('CHEBI', 'CHEBI:31882')	{'PUBCHEM': '22880', 'TEXT': 'N-methyl-D-aspartate', 'MESH': 'D016202', 'CHEBI': 'CHEBI:31882', 'CHEMBL': 'CHEMBL291278', 'HMDB': 'HMDB0002393', 'CAS': '6384-92-5'}	C0079883
Poloxamer	('CHEBI', 'CHEBI:32026')	{'CHEBI': 'CHEBI:32026', 'TEXT': 'poloxamer', 'PUBCHEM': '24751', 'DRUGBANK': 'DB11451', 'HMDB': 'HMDB0032263'}	C0600615
bupropion	('CHEBI', 'CHEBI:3219')	{'CHEBI': 'CHEBI:3219', 'TEXT': 'bupropion', 'HMDB': 'HMDB0001510', 'MESH': 'D016642', 'CAS': '34841-39-9', 'DRUGBANK': 'DB01156', 'PUBCHEM': '444', 'CHEMBL': 'CHEMBL894'}	C0085208
thioacetamide	('CHEBI', 'CHEBI:32497')	{'CHEBI': 'CHEBI:32497', 'TEXT': 'thioacetamide', 'CHEMBL': 'CHEMBL38737', 'PUBCHEM': '2723949', 'MESH': 'D013853', 'CAS': '62-55-5'}	C0039872
2,6-dimethylpyridine	('CHEBI', 'CHEBI:32548')	{'PUBCHEM': '7937', 'TEXT': 'LUT', 'CHEBI': 'CHEBI:32548', 'CAS': '108-48-5', 'HMDB': 'HMDB0032972', 'CHEMBL': 'CHEMBL22976'}	C0043328
potassium chloride	('CHEBI', 'CHEBI:32588')	{'PUBCHEM': '4873', 'TEXT': 'KCl', 'CHEMBL': 'CHEMBL1200731', 'MESH': 'D011189', 'CAS': '7447-40-7', 'CHEBI': 'CHEBI:32588', 'DRUGBANK': 'DB00761'}	C0032825
barium atom	('CHEBI', 'CHEBI:32594')	{'PUBCHEM': '5355457', 'TEXT': 'BAN', 'CHEBI': 'CHEBI:32594', 'DRUGBANK': 'DB12481', 'CAS': '7440-39-3', 'CHEMBL': 'CHEMBL4297653'}	C4553947
4-N-nitrosomethylamino-1-3-pyridylbutan-1-one	('CHEBI', 'CHEBI:32692')	{'PUBCHEM': '47289', 'TEXT': 'NNK', 'CHEBI': 'CHEBI:32692', 'HMDB': 'HMDB0011603', 'CAS': '64091-91-4', 'CHEMBL': 'CHEMBL2311069'}	C0047964
R-2-hydroxyglutaric acid	('CHEBI', 'CHEBI:32796')	{'PUBCHEM': '439391', 'TEXT': 'D-2-hydroxyglutarate', 'CHEMBL': 'CHEMBL1614745', 'HMDB': 'HMDB0000606', 'CHEBI': 'CHEBI:32796'}	C4068075
amine	('CHEBI', 'CHEBI:32952')	{'CHEBI': 'CHEBI:32952', 'TEXT': 'amine'}	C0002508
epoxide	('CHEBI', 'CHEBI:32955')	{'CHEBI': 'CHEBI:32955', 'TEXT': 'epoxide'}	C0014630
bisphenol A	('CHEBI', 'CHEBI:33216')	{'CHEBI': 'CHEBI:33216', 'TEXT': 'bisphenol A', 'DRUGBANK': 'DB06973', 'PUBCHEM': '6623', 'CAS': '80-05-7', 'HMDB': 'HMDB0032133', 'CHEMBL': 'CHEMBL418971'}	C1539312
bisphenol A	('CHEBI', 'CHEBI:33216')	{'CHEBI': 'CHEBI:33216', 'PUBCHEM': '6623', 'DRUGBANK': 'DB06973', 'CAS': '80-05-7', 'HMDB': 'HMDB0032133', 'CHEMBL': 'CHEMBL418971', 'TEXT': 'BPA'}	C1539312
fertilizer	('CHEBI', 'CHEBI:33287')	{'CHEBI': 'CHEBI:33287', 'TEXT': 'fertilizer', 'MESH': 'D005308'}	C0015919
polonium atom	('CHEBI', 'CHEBI:33313')	{'PUBCHEM': '6328143', 'TEXT': 'PO', 'CAS': '7440-08-6', 'CHEBI': 'CHEBI:33313', 'MESH': 'D011059'}	C0032729
polonium atom	('CHEBI', 'CHEBI:33313')	{'PUBCHEM': '6328143', 'TEXT': 'po', 'CAS': '7440-08-6', 'CHEBI': 'CHEBI:33313', 'MESH': 'D011059'}	C0032729
polonium atom	('CHEBI', 'CHEBI:33313')	{'PUBCHEM': '6328143', 'TEXT': 'Po', 'CAS': '7440-08-6', 'CHEBI': 'CHEBI:33313', 'MESH': 'D011059'}	C0032729
samarium atom	('CHEBI', 'CHEBI:33374')	{'PUBCHEM': '23951', 'TEXT': 'SM', 'HMDB': 'HMDB0062272', 'CHEBI': 'CHEBI:33374', 'MESH': 'D012493', 'CAS': '7440-19-9', 'DRUGBANK': 'DB12403'}	C0036154
ytterbium	('CHEBI', 'CHEBI:33381')	{'CHEBI': 'CHEBI:33381', 'TEXT': 'ytterbium', 'MESH': 'D015018', 'CAS': '7440-64-4', 'PUBCHEM': '23992'}	C0043431
catecholamine	('CHEBI', 'CHEBI:33567')	{'CHEBI': 'CHEBI:33567', 'TEXT': 'catecholamine', 'MESH': 'D002395'}	C0007412
messenger RNA	('CHEBI', 'CHEBI:33699')	{'CHEBI': 'CHEBI:33699', 'TEXT': 'messenger RNA', 'MESH': 'D012333'}	C0035696
amino acid	('CHEBI', 'CHEBI:33709')	{'CHEBI': 'CHEBI:33709', 'TEXT': 'amino acid'}	C0002520
capsaicin	('CHEBI', 'CHEBI:3374')	{'PUBCHEM': '1548943', 'CHEBI': 'CHEBI:3374', 'CAS': '404-86-4', 'HMDB': 'HMDB0002227', 'DRUGBANK': 'DB06774', 'CHEMBL': 'CHEMBL294199', 'MESH': 'D002211', 'TEXT': 'capsaicin'}	C0006931
phenols	('CHEBI', 'CHEBI:33853')	{'CHEBI': 'CHEBI:33853', 'TEXT': 'phenols', 'MESH': 'D010636'}	C0031428
carbachol	('CHEBI', 'CHEBI:3385')	{'CHEBI': 'CHEBI:3385', 'TEXT': 'carbachol', 'PUBCHEM': '5831', 'CAS': '51-83-2', 'DRUGBANK': 'DB00411', 'CHEMBL': 'CHEMBL14', 'MESH': 'D002217'}	C0006945
Carnosol	('CHEBI', 'CHEBI:3429')	{'CHEBI': 'CHEBI:3429', 'TEXT': 'carnosol', 'PUBCHEM': '442009', 'CAS': '5957-80-2', 'CHEMBL': 'CHEMBL218693'}	C0108518
3,3',4,4',5-pentachlorobiphenyl	('CHEBI', 'CHEBI:34317')	{'PUBCHEM': '63090', 'TEXT': 'PCB 126', 'CHEMBL': 'CHEMBL342696', 'CHEBI': 'CHEBI:34317', 'CAS': '57465-28-8'}	C0243804
3-methylcholanthrene	('CHEBI', 'CHEBI:34342')	{'PUBCHEM': '1674', 'TEXT': 'MC', 'CAS': '56-49-5', 'CHEMBL': 'CHEMBL40583', 'MESH': 'D008748', 'CHEBI': 'CHEBI:34342'}	C0149566
3-methylcholanthrene	('CHEBI', 'CHEBI:34342')	{'PUBCHEM': '1674', 'TEXT': '3-MC', 'CAS': '56-49-5', 'CHEMBL': 'CHEMBL40583', 'MESH': 'D008748', 'CHEBI': 'CHEBI:34342'}	C0149566
3-methylcholanthrene	('CHEBI', 'CHEBI:34342')	{'CHEBI': 'CHEBI:34342', 'TEXT': '3-methylcholanthrene', 'PUBCHEM': '1674', 'CAS': '56-49-5', 'CHEMBL': 'CHEMBL40583', 'MESH': 'D008748'}	C0149566
4-aminopyridine	('CHEBI', 'CHEBI:34385')	{'PUBCHEM': '1727', 'TEXT': '4-AP', 'CHEBI': 'CHEBI:34385', 'CAS': '504-24-5', 'MESH': 'D015761', 'CHEMBL': 'CHEMBL284348', 'DRUGBANK': 'DB06637'}	C0000477
4-aminopyridine	('CHEBI', 'CHEBI:34385')	{'CHEBI': 'CHEBI:34385', 'TEXT': '4-Aminopyridine', 'PUBCHEM': '1727', 'CAS': '504-24-5', 'MESH': 'D015761', 'CHEMBL': 'CHEMBL284348', 'DRUGBANK': 'DB06637'}	C0000477
dextran sulfate	('CHEBI', 'CHEBI:34674')	{'CHEBI': 'CHEBI:34674', 'TEXT': 'dextran sulfate', 'CAS': '9042-14-2'}	C0079224
N-nitrosodiethylamine	('CHEBI', 'CHEBI:34873')	{'PUBCHEM': '5921', 'TEXT': 'DEN', 'CHEBI': 'CHEBI:34873', 'CHEMBL': 'CHEMBL164290', 'MESH': 'D004052', 'CAS': '55-18-5'}	C0012200
N-nitrosodiethylamine	('CHEBI', 'CHEBI:34873')	{'PUBCHEM': '5921', 'TEXT': 'diethylnitrosamine', 'CHEBI': 'CHEBI:34873', 'CHEMBL': 'CHEMBL164290', 'MESH': 'D004052', 'CAS': '55-18-5'}	C0012200
Niflumic acid	('CHEBI', 'CHEBI:34888')	{'CHEBI': 'CHEBI:34888', 'TEXT': 'niflumic acid', 'MESH': 'D009544', 'DRUGBANK': 'DB04552', 'CHEMBL': 'CHEMBL63323', 'PUBCHEM': '4488', 'CAS': '4394-00-7'}	C0028067
2-nitrofuran	('CHEBI', 'CHEBI:34890')	{'PUBCHEM': '11865', 'TEXT': '5-Nitrofuran', 'CHEBI': 'CHEBI:34890', 'CAS': '609-39-2'}	C0028155
phenethyl isothiocyanate	('CHEBI', 'CHEBI:351346')	{'PUBCHEM': '16741', 'TEXT': 'PEITC', 'DRUGBANK': 'DB12695', 'HMDB': 'HMDB0038445', 'CAS': '2257-09-2', 'CHEMBL': 'CHEMBL151649', 'CHEBI': 'CHEBI:351346'}	C0070558
chloroform	('CHEBI', 'CHEBI:35255')	{'PUBCHEM': '6212', 'TEXT': 'TCM', 'CHEBI': 'CHEBI:35255', 'HMDB': 'HMDB0029596', 'CAS': '67-66-3', 'MESH': 'D002725', 'CHEMBL': 'CHEMBL44618', 'DRUGBANK': 'DB11387'}	C1515884
anthracene	('CHEBI', 'CHEBI:35298')	{'CHEBI': 'CHEBI:35298', 'TEXT': 'anthracene', 'DRUGBANK': 'DB07372', 'CAS': '120-12-7', 'PUBCHEM': '8418', 'CHEMBL': 'CHEMBL333179'}	C0003162
steroid	('CHEBI', 'CHEBI:35341')	{'CHEBI': 'CHEBI:35341', 'TEXT': 'steroid', 'MESH': 'D013256'}	C0038317
fatty acid	('CHEBI', 'CHEBI:35366')	{'CHEBI': 'CHEBI:35366', 'TEXT': 'fatty  acid', 'MESH': 'D005227'}	C0015684
purine	('CHEBI', 'CHEBI:35584')	{'CHEBI': 'CHEBI:35584', 'TEXT': 'purine'}	C0034140
immunosuppressive agent	('CHEBI', 'CHEBI:35705')	{'CHEBI': 'CHEBI:35705', 'TEXT': 'immunosuppressive agent', 'MESH': 'D007166'}	C0021081
nitrosamine	('CHEBI', 'CHEBI:35803')	{'CHEBI': 'CHEBI:35803', 'TEXT': 'nitrosamine', 'MESH': 'D009602'}	C0028197
taurocholate	('CHEBI', 'CHEBI:36257')	{'CHEBI': 'CHEBI:36257', 'TEXT': 'taurocholate', 'PUBCHEM': '9548794'}	C0087063
HETE	('CHEBI', 'CHEBI:36275')	{'CHEBI': 'CHEBI:36275', 'TEXT': 'HETE', 'MESH': 'D006893'}	C0020349
hydrogen isocyanide	('CHEBI', 'CHEBI:36856')	{'PUBCHEM': '6432654', 'TEXT': 'HNC', 'CAS': '6914-07-4', 'CHEBI': 'CHEBI:36856'}	C1721358
thiourea	('CHEBI', 'CHEBI:36946')	{'CHEBI': 'CHEBI:36946', 'TEXT': 'thiourea', 'CAS': '62-56-6', 'CHEMBL': 'CHEMBL260876', 'MESH': 'D013890', 'HMDB': 'HMDB0034155', 'PUBCHEM': '2723790'}	C0039958
pyridine nucleotide	('CHEBI', 'CHEBI:36980')	{'CHEBI': 'CHEBI:36980', 'TEXT': 'Pyridine nucleotide'}	C0597331
cimetidine	('CHEBI', 'CHEBI:3699')	{'CHEBI': 'CHEBI:3699', 'TEXT': 'cimetidine', 'DRUGBANK': 'DB00501', 'CAS': '51481-61-9', 'CHEMBL': 'CHEMBL30', 'MESH': 'D002927', 'PUBCHEM': '2756', 'HMDB': 'HMDB0014644'}	C0008783
barium2+	('CHEBI', 'CHEBI:37136')	{'PUBCHEM': '104810', 'TEXT': 'BA', 'HMDB': 'HMDB0004142', 'CAS': '22541-12-4', 'CHEBI': 'CHEBI:37136'}	C0004684
clofibrate	('CHEBI', 'CHEBI:3750')	{'CHEBI': 'CHEBI:3750', 'TEXT': 'Clofibrate', 'HMDB': 'HMDB0014774', 'DRUGBANK': 'DB00636', 'PUBCHEM': '2796', 'CHEMBL': 'CHEMBL565', 'MESH': 'D002994', 'CAS': '637-07-0'}	C0009002
clofibrate	('CHEBI', 'CHEBI:3750')	{'CHEBI': 'CHEBI:3750', 'TEXT': 'clofibrate', 'HMDB': 'HMDB0014774', 'DRUGBANK': 'DB00636', 'PUBCHEM': '2796', 'CHEMBL': 'CHEMBL565', 'MESH': 'D002994', 'CAS': '637-07-0'}	C0009002
phorbol ester	('CHEBI', 'CHEBI:37532')	{'CHEBI': 'CHEBI:37532', 'TEXT': 'phorbol ester'}	C0031586
phorbol ester	('CHEBI', 'CHEBI:37532')	{'CHEBI': 'CHEBI:37532', 'TEXT': 'Phorbol ester'}	C0031586
phorbol 13-acetate 12-myristate	('CHEBI', 'CHEBI:37537')	{'PUBCHEM': '27924', 'CHEBI': 'CHEBI:37537', 'CHEMBL': 'CHEMBL279115', 'MESH': 'D013755', 'CAS': '16561-29-8', 'TEXT': 'TPA'}	C0032143
oleanolic acid	('CHEBI', 'CHEBI:37659')	{'CHEBI': 'CHEBI:37659', 'TEXT': 'oleanolic acid', 'MESH': 'D009828', 'PUBCHEM': '10494', 'CHEMBL': 'CHEMBL168', 'CAS': '508-02-1', 'HMDB': 'HMDB0002364'}	C0028925
O4-phospho-L-tyrosine	('CHEBI', 'CHEBI:37788')	{'PUBCHEM': '30819', 'TEXT': 'phosphotyrosine', 'CHEMBL': 'CHEMBL286939', 'CAS': '21820-51-9', 'DRUGBANK': 'DB01962', 'MESH': 'D019000', 'CHEBI': 'CHEBI:37788', 'HMDB': 'HMDB0006049'}	C0070948
